url	dist.FAO.Area	dist.Status
114	https://www.fishbase.se/Country/FaoAreaList.php?ID=2660&GenusName=Nemichthys&SpeciesName=scolopaceus&fc=52&StockCode=2856&Scientific=Nemichthys+scolopaceus	Atlantic, Western Central	native
115	https://www.fishbase.se/Country/FaoAreaList.php?ID=2660&GenusName=Nemichthys&SpeciesName=scolopaceus&fc=52&StockCode=2856&Scientific=Nemichthys+scolopaceus	Atlantic, Eastern Central	native
116	https://www.fishbase.se/Country/FaoAreaList.php?ID=2660&GenusName=Nemichthys&SpeciesName=scolopaceus&fc=52&StockCode=2856&Scientific=Nemichthys+scolopaceus	Mediterranean and Black Sea	native
117	https://www.fishbase.se/Country/FaoAreaList.php?ID=2660&GenusName=Nemichthys&SpeciesName=scolopaceus&fc=52&StockCode=2856&Scientific=Nemichthys+scolopaceus	Atlantic, Southwest	native
118	https://www.fishbase.se/Country/FaoAreaList.php?ID=2660&GenusName=Nemichthys&SpeciesName=scolopaceus&fc=52&StockCode=2856&Scientific=Nemichthys+scolopaceus	Atlantic, Southeast	native
119	https://www.fishbase.se/Country/FaoAreaList.php?ID=2660&GenusName=Nemichthys&SpeciesName=scolopaceus&fc=52&StockCode=2856&Scientific=Nemichthys+scolopaceus	Indian Ocean, Western	native
120	https://www.fishbase.se/Country/FaoAreaList.php?ID=2660&GenusName=Nemichthys&SpeciesName=scolopaceus&fc=52&StockCode=2856&Scientific=Nemichthys+scolopaceus	Indian Ocean, Eastern	native
121	https://www.fishbase.se/Country/FaoAreaList.php?ID=2660&GenusName=Nemichthys&SpeciesName=scolopaceus&fc=52&StockCode=2856&Scientific=Nemichthys+scolopaceus	Pacific, Northwest	native
122	https://www.fishbase.se/Country/FaoAreaList.php?ID=2660&GenusName=Nemichthys&SpeciesName=scolopaceus&fc=52&StockCode=2856&Scientific=Nemichthys+scolopaceus	Pacific, Northeast	native
123	https://www.fishbase.se/Country/FaoAreaList.php?ID=2660&GenusName=Nemichthys&SpeciesName=scolopaceus&fc=52&StockCode=2856&Scientific=Nemichthys+scolopaceus	Pacific, Western Central	native
124	https://www.fishbase.se/Country/FaoAreaList.php?ID=2660&GenusName=Nemichthys&SpeciesName=scolopaceus&fc=52&StockCode=2856&Scientific=Nemichthys+scolopaceus	Pacific, Eastern Central	native
125	https://www.fishbase.se/Country/FaoAreaList.php?ID=2660&GenusName=Nemichthys&SpeciesName=scolopaceus&fc=52&StockCode=2856&Scientific=Nemichthys+scolopaceus	Pacific, Southwest	native
126	https://www.fishbase.se/Country/FaoAreaList.php?ID=2660&GenusName=Nemichthys&SpeciesName=scolopaceus&fc=52&StockCode=2856&Scientific=Nemichthys+scolopaceus	Pacific, Southeast	native
127	https://www.fishbase.se/Country/FaoAreaList.php?ID=296&GenusName=Anguilla&SpeciesName=rostrata&fc=49&StockCode=310&Scientific=Anguilla+rostrata	America, South - Inland waters	native
128	https://www.fishbase.se/Country/FaoAreaList.php?ID=296&GenusName=Anguilla&SpeciesName=rostrata&fc=49&StockCode=310&Scientific=Anguilla+rostrata	America, North - Inland waters	native
129	https://www.fishbase.se/Country/FaoAreaList.php?ID=296&GenusName=Anguilla&SpeciesName=rostrata&fc=49&StockCode=310&Scientific=Anguilla+rostrata	Europe - Inland waters	introduced
130	https://www.fishbase.se/Country/FaoAreaList.php?ID=296&GenusName=Anguilla&SpeciesName=rostrata&fc=49&StockCode=310&Scientific=Anguilla+rostrata	Atlantic, Northwest	native
131	https://www.fishbase.se/Country/FaoAreaList.php?ID=296&GenusName=Anguilla&SpeciesName=rostrata&fc=49&StockCode=310&Scientific=Anguilla+rostrata	Atlantic, Western Central	native
132	https://www.fishbase.se/Country/FaoAreaList.php?ID=296&GenusName=Anguilla&SpeciesName=rostrata&fc=49&StockCode=310&Scientific=Anguilla+rostrata	Atlantic, Southwest	questionable
133	https://www.fishbase.se/Country/FaoAreaList.php?ID=7477&GenusName=Serrivomer&SpeciesName=beanii&fc=65&StockCode=7779&Scientific=Serrivomer+beanii	Atlantic, Northwest	native
134	https://www.fishbase.se/Country/FaoAreaList.php?ID=7477&GenusName=Serrivomer&SpeciesName=beanii&fc=65&StockCode=7779&Scientific=Serrivomer+beanii	Atlantic, Northeast	native
135	https://www.fishbase.se/Country/FaoAreaList.php?ID=7477&GenusName=Serrivomer&SpeciesName=beanii&fc=65&StockCode=7779&Scientific=Serrivomer+beanii	Atlantic, Western Central	native
136	https://www.fishbase.se/Country/FaoAreaList.php?ID=7477&GenusName=Serrivomer&SpeciesName=beanii&fc=65&StockCode=7779&Scientific=Serrivomer+beanii	Atlantic, Eastern Central	native
137	https://www.fishbase.se/Country/FaoAreaList.php?ID=7477&GenusName=Serrivomer&SpeciesName=beanii&fc=65&StockCode=7779&Scientific=Serrivomer+beanii	Atlantic, Southwest	native
138	https://www.fishbase.se/Country/FaoAreaList.php?ID=7477&GenusName=Serrivomer&SpeciesName=beanii&fc=65&StockCode=7779&Scientific=Serrivomer+beanii	Atlantic, Southeast	native
139	https://www.fishbase.se/Country/FaoAreaList.php?ID=7477&GenusName=Serrivomer&SpeciesName=beanii&fc=65&StockCode=7779&Scientific=Serrivomer+beanii	Indian Ocean, Western	native
140	https://www.fishbase.se/Country/FaoAreaList.php?ID=7477&GenusName=Serrivomer&SpeciesName=beanii&fc=65&StockCode=7779&Scientific=Serrivomer+beanii	Indian Ocean, Eastern	native
