url	sci_name	common_name	habitat	threat_to_humans	human_uses	IUCN	IUCN_abr	physical_characters
45	https://www.fishbase.se/summary/Arapaima-gigas.html	Arapaima gigas (Schinz,  1822)	Arapaima	Freshwater;  demersal; pH range: 6.0 - 6.5; dH range: 10 - ?.   Tropical; 25°C - 29°C (Ref. 2060); 5°N -   11°S	Harmless	Fisheries: commercial; aquaculture: commercial; gamefish: yes; aquarium: public aquariums	Data deficient 	DD	Maturity: Lm ?, range 145 -  154 cm Max length : 450 cm TL male/unsexed; (Ref. 6398); common length : 200 cm TL male/unsexed; (Ref. 557); max. published weight: 200.0 kg (Ref. 557)
46	https://www.fishbase.se/summary/Heterotis-niloticus.html	Heterotis niloticus (Cuvier,  1829)	African bonytongue	Freshwater;  pelagic; depth range 1 - ? m (Ref. 13851).   Tropical; 25°C - 30°C (Ref. 2060); 16°N -   3°N, 17°W -   37°E	Potential pest 	Fisheries: commercial; aquaculture: commercial; aquarium: commercial	Least Concern 	LC	Maturity: Lm ?, range 40 -  40 cm Max length : 100.0 cm SL male/unsexed; (Ref. 31256); max. published weight: 10.2 kg (Ref. 2920)
47	https://www.fishbase.se/summary/Gnathonemus-petersii.html	Gnathonemus petersii (Günther,  1862)	Elephantnose fish	Freshwater;  demersal; pH range: 6.0 - 8.0; dH range: 5 - 19.   Tropical; 22°C - 28°C (Ref. 1672)	Harmless	Fisheries: subsistence fisheries; aquarium: commercial	Least Concern 	LC	Maturity: Lm ?  range ? - ? cm Max length : 35.0 cm SL male/unsexed; (Ref. 2915)
48	https://www.fishbase.se/summary/Gymnarchus-niloticus.html	Gymnarchus niloticus Cuvier,  1829	Aba	Freshwater;  demersal; pH range: 6.5 - 8.0; dH range: 10 - 25; potamodromous (Ref. 51243).   Tropical; 23°C - 28°C (Ref. 13614); 18°N -   2°N, 16°W -   36°E	Harmless	Fisheries: commercial	Least Concern 	LC	Maturity: Lm ?  range ? - ? cm Max length : 167 cm SL male/unsexed; (Ref. 2915); max. published weight: 18.5 kg (Ref. 2915)
49	https://www.fishbase.se/summary/Xenomystus-nigri.html	Xenomystus nigri (Günther,  1868)	African knifefish	Freshwater;  demersal; pH range: 6.0 - 8.0; dH range: 5 - 19.   Tropical; 22°C - 28°C (Ref. 1672)	Harmless	Fisheries: of no interest; aquarium: commercial	Least Concern 	LC	Maturity: Lm ?  range ? - ? cm Max length : 30.0 cm SL male/unsexed; (Ref. 31256)
50	https://www.fishbase.se/summary/Chitala-chitala.html	Chitala chitala (Hamilton,  1822)	Clown knifefish	Freshwater;  demersal; pH range: 6.0 - 8.0; dH range: 5 - 19.   Tropical; 24°C - 28°C (Ref. 2060)	Harmless	Fisheries: minor commercial; aquaculture: commercial; gamefish: yes; aquarium: commercial	Near Threatened 	NT	Maturity: Lm75.5  range ? -  91 cm Max length : 122 cm SL male/unsexed; (Ref. 4832); common length : 75.0 cm SL male/unsexed; (Ref. 2686)
51	https://www.fishbase.se/summary/Chitala-ornata.html	Chitala ornata (Gray,  1831)	Clown featherback	Freshwater;  pelagic; potamodromous (Ref. 51243).   Tropical; 24°C - 28°C	Harmless	Fisheries: commercial; aquarium: commercial	Least Concern 	LC	Maturity: Lm ?  range ? - ? cm Max length : 100.0 cm SL male/unsexed; (Ref. 30857); max. published weight: 5.0 kg (Ref. 40637)
52	https://www.fishbase.se/summary/Denticeps-clupeoides.html	Denticeps clupeoides Clausen,  1959	Denticle herring	Freshwater;  pelagic.   Tropical; 20°C - 25°C (Ref. 13614); 7°N -   4°N, 2°E -   9°E	Harmless	Fisheries:	Vulnerable 	VU	Maturity: Lm ?  range ? - ? cm Max length : 15.0 cm TL male/unsexed; (Ref. 81268)
53	https://www.fishbase.se/summary/Jenkinsia-lamprotaenia.html	Jenkinsia lamprotaenia (Gosse,  1851)	Dwarf round herring	Marine;  reef-associated; depth range 0 - 50 m.   Subtropical; 34°N -   8°N, 100°W -   60°W (Ref. 188)	Harmless	Fisheries: minor commercial; bait: usually	Least Concern 	LC	Maturity: Lm2.8, range 2 - ? cm Max length : 7.5 cm TL male/unsexed; (Ref. 9710)
54	https://www.fishbase.se/summary/Chirocentrus-dorab.html	Chirocentrus dorab (Forsskål,  1775)	Dorab wolf-herring	Marine; brackish;  reef-associated; amphidromous (Ref. 51243); depth range ? - 120 m (Ref. 30573).   Tropical; 35°N -   20°S, 40°E -   156°E (Ref. 55462)	Harmless	Fisheries: commercial; gamefish: yes; bait: usually	Least Concern 	LC	Maturity: Lm ?  range ? - ? cm Max length : 100.0 cm SL male/unsexed; (Ref. 188); 36.6 cm SL (female); common length : 60.0 cm TL male/unsexed; (Ref. 5450)
55	https://www.fishbase.se/summary/Engraulis-mordax.html	Engraulis mordax Girard,  1854	Californian anchovy	Marine;  pelagic-neritic; depth range 0 - 310 m (Ref. 96339), usually ? - 219 m (Ref. 54433).   Subtropical; 51°N -   21°N, 131°W -   108°W (Ref. 54433)	Harmless	Fisheries: commercial; bait: usually	Least Concern 	LC	Maturity: Lm9.6  range ? - ? cm Max length : 24.8 cm SL male/unsexed; (Ref. 27436); common length : 15.0 cm TL male/unsexed; (Ref. 9988); max. published weight: 68.00 g (Ref. 56527); max. reported age: 7 years (Ref. 6884)
56	https://www.fishbase.se/summary/Coilia-nasus.html	Coilia nasus Temminck  &  Schlegel,  1846	Japanese grenadier anchovy	Marine; freshwater; brackish;  pelagic-neritic; anadromous (Ref. 51243); depth range 0 - 50 m (Ref. 189).   Subtropical; 42°N -   21°N, 109°E -   134°E (Ref. 189)	Harmless	Fisheries: commercial	Endangered 	EN	Maturity: Lm ?  range ? - ? cm Max length : 41.0 cm TL male/unsexed; (Ref. 189)
57	https://www.fishbase.se/summary/Pellona-flavipinnis.html	Pellona flavipinnis (Valenciennes,  1837)	Yellowfin river pellona	Freshwater; brackish;  pelagic.   Subtropical; 10°N -   35°S	Harmless	Fisheries: subsistence fisheries	Least Concern 	LC	Maturity: Lm ?  range ? - ? cm Max length : 73.0 cm TL male/unsexed; (Ref. 5217); common length : 45.0 cm TL male/unsexed; (Ref. 5217)
58	https://www.fishbase.se/summary/Ilisha-elongata.html	Ilisha elongata (Anonymous [Bennett],  1830)	Elongate ilisha	Marine; brackish;  pelagic-neritic; depth range 5 - ? m (Ref. 12166).   Tropical; 39°N -   1°S, 103°E -   138°E (Ref. 54449)	Harmless	Fisheries: highly commercial	Least Concern 	LC	Maturity: Lm ?  range ? - ? cm Max length : 60.0 cm TL male/unsexed; (Ref. 56557); common length : 30.0 cm TL male/unsexed; (Ref. 27773); max. published weight: 140.00 g (Ref. 4883)
59	https://www.fishbase.se/summary/Alosa-pseudoharengus.html	Alosa pseudoharengus (Wilson,  1811)	Alewife	Marine; freshwater; brackish;  pelagic-neritic; anadromous (Ref. 51243); depth range 5 - 145 m (Ref. 4639), usually 56 - 110 m (Ref. 5951).   Temperate; 55°N -   34°N, 93°W -   53°W (Ref. 86798)	Harmless	Fisheries: commercial; bait: occasionally	Least Concern 	LC	Maturity: Lm ?, range 11 - ? cm Max length : 40.0 cm SL male/unsexed; (Ref. 7251); common length : 30.0 cm SL male/unsexed; (Ref. 7251); max. published weight: 200.00 g (Ref. 7251); max. reported age: 9 years (Ref. 72462)
