url	sci_name	common_name	threat_to_humans	IUCN	IUCN_abr	fisheries	aquaculture	gamefish	bait	aquarium	env_milieu	env_zone	env_migration	env_depth_range_min	env_depth_range_max	dh_range	max_published_weight	max_reported_age
https://www.fishbase.se/summary/Pristolepis-fasciata.html	Pristolepis fasciata (Bleeker,  1851)	Malayan leaffish	Harmless	Least Concern 	LC	minor commercial	NA	NA	NA	commercial	Freshwater	demersal	potamodromous	NA	NA	Tropical	NA	NA
https://www.fishbase.se/summary/Badis-pyema.html	Badis pyema Kullander  &  Britz,  2002	NA	Harmless	Not Evaluated	NA	NA	NA	NA	NA	NA	Freshwater	benthopelagic	NA	NA	NA	Tropical	NA	NA
https://www.fishbase.se/summary/Dario-dario.html	Dario dario (Hamilton,  1822)	NA	Harmless	Data deficient 	DD	NA	NA	NA	NA	commercial	Freshwater	benthopelagic	NA	0	1	Tropical	NA	NA
https://www.fishbase.se/summary/Nandus-andrewi.html	Nandus andrewi Ng  &  Jaafar,  2008	NA	Harmless	Data deficient 	DD	NA	NA	NA	NA	NA	Freshwater	benthopelagic	NA	NA	NA	Tropical	NA	NA
https://www.fishbase.se/summary/Nandus-nandus.html	Nandus nandus (Hamilton,  1822)	Gangetic leaffish	Harmless	Least Concern 	LC	commercial	NA	NA	NA	commercial	Freshwater;brackish	benthopelagic	NA	NA	NA	Tropical	NA	NA
https://www.fishbase.se/summary/Nandus-nebulosus.html	Nandus nebulosus (Gray,  1835)	Bornean leaffish	Harmless	Least Concern 	LC	NA	NA	NA	NA	commercial	Freshwater;brackish	benthopelagic	NA	NA	NA	Tropical	NA	NA
https://www.fishbase.se/summary/Ctenopoma-acutirostre.html	Ctenopoma acutirostre Pellegrin,  1899	Spotted ctenopoma	Harmless	Least Concern 	LC	NA	NA	NA	NA	commercial	Freshwater	benthopelagic	NA	NA	NA	Tropical	NA	NA
https://www.fishbase.se/summary/Microctenopoma-nanum.html	Microctenopoma nanum (Günther,  1896)	Dwarf ctenopoma	Harmless	Least Concern 	LC	NA	NA	NA	NA	commercial	Freshwater	benthopelagic	NA	NA	NA	Tropical	NA	NA
https://www.fishbase.se/summary/Helostoma-temminkii.html	Helostoma temminckii Cuvier,  1829	Kissing gourami	Harmless	Least Concern 	LC	highly commercial	commercial	yes	NA	highly commercial	Freshwater	benthopelagic	potamodromous	2	NA	Tropical	NA	NA
https://www.fishbase.se/summary/Betta-splendens.html	Betta splendens Regan,  1910	Siamese fighting fish	Harmless	Vulnerable 	VU	of no interest	NA	NA	NA	highly commercial	Freshwater	benthopelagic	NA	NA	NA	Tropical	NA	2 years
