Group	common_name	threat_to_humans	IUCN	IUCN_abr	fisheries	aquaculture	gamefish	bait	aquarium	env_milieu!freshwater	env_milieu!brackish	env_milieu!marine	env_zone	env_migration	env_depth_range_min	env_depth_range_max	dh_range	max_published_weight	max_reported_age	fao_area	fao_status
Lepomis_macrochirus_E01113	Bluegill	Potential pest	Least Concern	LC	minor commercial	commercial	yes		commercial	1	0	0	benthopelagic				Subtropical	2.2	10	Oceania - Inland waters; Africa-Inland Waters; America, South - Inland waters; America, North - Inland waters; Asia - Inland waters	introduced
Lepophidium_brevibarbe_E00758	Shortbeard cusk-eel	Harmless	Least Concern	LC	minor commercial					0	0	1	demersal		5	115	Tropical			Atlantic, Western Central; Atlantic, Southwest	native
Lepophidium_jeannae_E00621	Mottled cusk-eel	Harmless	Least Concern	LC						0	0	1	reef-associated		25	280	Tropical			Atlantic, Western Central	endemic
Lepophidium_profundorum_E00248	Blackrim cusk-eel	Harmless	Least Concern	LC						0	0	1	demersal		29	399	Tropical			Atlantic, Northwest; Atlantic, Western Central	native
Leporinus_agassizii_P1_B02_RG39		Harmless	Not Evaluated	NE						1	0	0	benthopelagic				Tropical			America, South - Inland waters	endemic
Leporinus_brunneus_P1_H04_RG73		Harmless	Not Evaluated	NE						1	0	0	benthopelagic				Tropical			America, South - Inland waters	endemic
Leporinus_ortomaculatus_P1_F03_RG79		Harmless	Not Evaluated	NE						1	0	0	benthopelagic				Tropical			America, South - Inland waters	endemic
Leporinus_striatus_P1_C03_RG40		Harmless	Least Concern	LC					commercial	1	0	0	benthopelagic	potamodromous			Tropical			America, South - Inland waters	endemic
Leptagoniates_steindachneri_P02_G10_RG37		Harmless	Not Evaluated	NE						1	0	0	pelagic				Tropical			America, South - Inland waters	endemic
Leptobrama_muelleri_E01150	Beachsalmon	Harmless	Not Evaluated	NE						1	1	1	benthopelagic				Tropical			Indian Ocean, Eastern; Pacific, Western Central	native
